"","region","Price2018-Q3","Price2018-Q2","principal2018-Q3","pmt2018-Q3","t_i2018-Q3","pti2018-Q3","min_inc2018-Q3","HAI2018-Q3","principal2018-Q2","pmt2018-Q2","t_i2018-Q2","pti2018-Q2","min_inc2018-Q2","HAI2018-Q2","Price2017-Q3","principal2017-Q3","pmt2017-Q3","t_i2017-Q3","pti2017-Q3","min_inc2017-Q3","HAI2017-Q3"
"71","BIG LAGOON",369000,444750,295200,1543.46361088539,424.35,1967.81361088539,78712.5444354156,0.339522615419084,355800,1860.31284807934,511.4625,2371.77534807934,94871.0139231737,0.274963517729444,226500,181200,947.41059042152,260.475,1207.88559042152,48315.4236168608,0.464360405570458
"72","BIG PINE",360000,236000,288000,1505.81815696136,414,1919.81815696136,76792.7262784543,0.373984934970839,188800,987.147458452445,271.4,1258.54745845244,50341.8983380978,0.547543229037004,226500,181200,947.41059042152,260.475,1207.88559042152,48315.4236168608,0.541750776488135
"73","BIG RIVER",165000,1050000,132000,690.166655273955,189.75,879.916655273955,35196.6662109582,0.430137833832368,840000,4391.96962447062,1207.5,5599.46962447062,223978.784978825,0.004781617201694,1625000,1300000,6797.09584739501,1868.75,8665.84584739501,346633.833895801,0.0123948476624658
"74","BIOLA",170000,175000,136000,711.080796342863,195.5,906.580796342863,36263.2318537145,0.550997271889854,140000,731.994937411771,201.25,933.244937411771,37329.7974964708,0.540030656582511,94300,75440,394.4407005596,108.445,502.8857005596,20115.428022384,0.697400135785874
"75","BISHOP",357443,396500,285954.4,1495.12266521872,411.05945,1906.18211521872,76247.2846087487,0.271929211920998,317200,1658.49138676438,455.975,2114.46638676438,84578.6554705753,0.230456627260627,395900,316720,1655.98168983611,455.285,2111.26668983611,84450.6675934446,0.187651070159803
"76","BLAIRSDEN",286000,304250,228800,1196.28886914152,328.9,1525.18886914152,61007.5547656609,0.791357892239863,243400,1272.62548404304,349.8875,1622.51298404304,64900.5193617214,0.75998982383708,261000,208800,1091.71816379698,300.15,1391.86816379698,55674.7265518793,0.738861354512965
"77","BLOOMINGTON",320000,342500,256000,1338.5050284101,368,1706.5050284101,68260.2011364038,0.389663060305828,274000,1432.61866322018,393.875,1826.49366322018,73059.7465288072,0.350783550776811,3e+05,240000,1254.84846413446,345,1599.84846413446,63993.9385653786,0.406451544981514
"78","BLUE LAKE",384750,476250,307800,1609.34315525245,442.4625,2051.80565525245,82072.226210098,0.311974164892623,381000,1992.07193681346,547.6875,2539.75943681346,101590.377472538,0.222713134904352,311750,249400,1303.9966956464,358.5125,1662.5091956464,66500.3678258559,0.339482843030158
"79","BLYTHE",44000,115625,35200,184.044441406388,50.6,234.644441406388,9385.77765625552,0.875892330021564,92500,483.639512218491,132.96875,616.608262218491,24664.3304887397,0.692423613152958,130000,104000,543.767667791601,149.5,693.267667791601,27730.706711664,0.668579102338259
"80","BODEGA BAY",1061500,990000,849200,4440.07214892911,1220.725,5660.79714892911,226431.885957164,0.155118211019618,792000,4140.99993164373,1138.5,5279.49993164373,211179.997265749,0.168799526644168,997500,798000,4172.37114324709,1147.125,5319.49614324709,212779.845729884,0.123646822777554
"81","BOLINAS",1600000,1136000,1280000,6692.52514205048,1840,8532.52514205048,341301.005682019,0.10586536787823,908800,4751.69285085584,1306.4,6058.09285085584,242323.714034233,0.143460424711937,1445000,1156000,6044.18676891434,1661.75,7705.93676891434,308237.470756573,0.145472899507494
"82","BONITA",7e+05,710000,560000,2927.97974964708,805,3732.97974964708,149319.189985883,0.269764345424365,568000,2969.8080317849,816.5,3786.3080317849,151452.321271396,0.261233270432268,650000,520000,2718.83833895801,747.5,3466.33833895801,138653.53355832,0.318772288563648
"83","BONSALL",599000,870000,479200,2505.51410005515,688.85,3194.36410005515,127774.564002206,0.336169767348543,696000,3639.06054598995,1000.5,4639.56054598995,185582.421839598,0.207696349088905,480000,384000,2007.75754261514,552,2559.75754261514,102390.301704606,0.371535749155112
"84","BOONVILLE",1350000,475000,1080000,5646.81808860509,1552.5,7199.31808860509,287972.723544204,0.0148574583432967,380000,1986.84340154623,546.25,2533.09340154623,101323.736061849,0.159173362679282,75000,60000,313.712116033616,86.25,399.962116033616,15998.4846413446,0.830667099532203
"85","BORON",69000,77000,55200,288.615146750927,79.35,367.965146750927,14718.6058700371,0.79597180215556,61600,322.077772461179,88.55,410.627772461179,16425.1108984472,0.767740802971051,75000,60000,313.712116033616,86.25,399.962116033616,15998.4846413446,0.763764325103719
"86","BORREGO SPRINGS",191500,213125,153200,801.011602939166,220.225,1021.23660293917,40849.4641175667,0.44348168336721,170500,891.465263062192,245.09375,1136.55901306219,45462.3605224877,0.399295912208885,205000,164000,857.479783825217,235.75,1093.22978382522,43729.1913530087,0.417844176265324
"87","BOULDER CREEK",6e+05,620000,480000,2509.69692826893,690,3199.69692826893,127987.877130757,0.257399250061228,496000,2593.35349254456,713,3306.35349254456,132254.139701782,0.241031122165139,587000,469600,2455.32016148977,675.05,3130.37016148977,125214.806459591,0.319021593900978
"88","BOULEVARD",138500,321000,110800,579.321707608744,159.275,738.596707608744,29543.8683043498,0.609084679714587,256800,1342.68785662388,369.15,1711.83785662388,68473.5142649551,0.347975249997385,275000,220000,1150.27775878993,316.25,1466.52775878993,58661.110351597,0.553653870979281
"89","BOYES HOT SPRINGS",370500,935000,296400,1549.73785320606,426.075,1975.81285320606,79032.5141282425,0.431605952373397,748000,3910.94437988575,1075.25,4986.19437988575,199447.77519543,0.104915003154414,535000,428000,2237.81309437313,615.25,2853.06309437313,114122.523774925,0.233365559541294
"90","BRADBURY",1225000,935000,980000,5123.96456188239,1408.75,6532.71456188239,261308.582475296,0.173002095067398,748000,3910.94437988575,1075.25,4986.19437988575,199447.77519543,0.245437762558347,1568499.5,1254799.6,6560.76396190225,1803.774425,8364.53838690225,334581.53547609,0.131666054135774
"91","BRADLEY",485000,339000,388000,2028.67168368405,557.75,2586.42168368405,103456.867347362,0.218715884059438,271200,1417.97876447194,389.85,1807.82876447194,72313.1505788778,0.401980409709029,285000,228000,1192.10604092774,327.75,1519.85604092774,60794.2416371096,0.526661143899347
"92","BRAWLEY",247500,570000,198000,1035.24998291093,284.625,1319.87498291093,52794.9993164373,0.40745182317478,456000,2384.21208185548,655.5,3039.71208185548,121588.483274219,0.109387884161625,215000,172000,899.308065963033,247.25,1146.55806596303,45862.3226385213,0.462011338953466
"93","BREA",739500,699999,591600,3093.20146409145,850.425,3943.62646409145,157745.058563658,0.243182342273852,559999.2,2927.97556681887,804.99885,3732.97441681887,149318.976672755,0.262129672148994,689495,551596,2884.03913926131,792.91925,3676.95838926131,147078.335570452,0.233711889727579
"94","BRENTWOOD",619950,595000,495960,2593.14435113387,712.9425,3306.08685113387,132243.474045355,0.383873814121323,476000,2488.78278720002,684.25,3173.03278720002,126921.311488001,0.404102554594505,578250,462600,2418.72041461918,664.9875,3083.70791461918,123348.316584767,0.362169757466926
